"Riga Excel";"FONDO";"Comune";"Provincia";"Indirizzo";"Destinazione";"Sup. lorda (mq)";"Asking price file";"Prezzo file (col. K)";"VALORE RIVENDITA";"Metodo";"Affidabilita";"EUR/mq applicato";"EUR/mq min OMI";"EUR/mq max OMI";"Zona OMI";"Descrizione zona OMI";"Semestre OMI";"Tipologia OMI";"Stato conservativo";"Fonte";"URL fonte";"Data fonte";"Motivazione";"Avvisi"
"97";"FAB III";"Vicolungo";"NO";"Cascina Palazzi 5";"Residenziale";"22292,200000000004";"1200000";;;"omi-incoerente";"STIMA NON AFFIDABILE - DATI INSUFFICIENTI";"1055";"860";"1250";"B1";"ZONA UNICA RESIDENZIALE";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?L847/NO00000908/20252/R/B1/0/0";"2025-2";"Superficie e prezzo del file sono incoerenti fra loro: il prezzo richiesto (1200000 EUR su 22292.200000000004 mq) implica 54 EUR/mq, pari al 6% del minimo OMI di zona (860 EUR/mq). La superficie indicata non e' compatibile con la superficie commerciale di un fabbricato: e' verosimilmente l'area del lotto o l'aggregato di piu' unita. Applicare il valore OMI al mq a questa superficie produrrebbe 23.518.271 EUR, valore non attendibile. Quotazione OMI del comune di Vicolungo, zona B1 (ZONA UNICA RESIDENZIALE), fascia B, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 860-1250 EUR/mq su superficie lorda. Valore centrale 1055 EUR/mq x 22292.200000000004 mq lordi.";"Superficie molto elevata (22292.200000000004 mq): probabile lotto cumulativo di piu unita, la quotazione unitaria di zona puo non essere rappresentativa. | Serve la superficie commerciale reale, oppure una stima da comparabili sull immobile specifico."
"98";"FAB III";"Foligno";"PG";"via Cesare Battisti n.30";"Residenziale";"149,49";"130000";;"163692";"omi";"MEDIA";"1095";"890";"1300";"B2";"CENTRALISSIMA VIA DEL CORSO - VIA UMBERTO I - PIAZZA DELLA REPUBBLICA - VIA MAZZINI - VIA GARIBALDI";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?D653/PG00000204/20252/R/B2/0/0";"2025-2";"Quotazione OMI del comune di Foligno, zona B2 (CENTRALISSIMA VIA DEL CORSO - VIA UMBERTO I - PIAZZA DELLA REPUBBLICA - VIA MAZZINI - VIA GARIBALDI), fascia B, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 890-1300 EUR/mq su superficie lorda. Valore centrale 1095 EUR/mq x 149.49 mq lordi.";""
"99";"FAB III";"Passignano sul Trasimeno";"PG";"via Mario Lucertini 22";"Residenziale";"81";"75000";;"60750";"omi";"ALTA";"750";"600";"900";"C1";"ZONE LUNGO LAGO";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?G359/PG00000372/20252/R/C1/0/0";"2025-2";"Quotazione OMI del comune di Passignano sul Trasimeno, zona C1 (ZONE LUNGO LAGO), fascia C, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 600-900 EUR/mq su superficie lorda. Valore centrale 750 EUR/mq x 81 mq lordi.";""
"100";"FAB III";"Castelfranco di Sotto";"PI";"Via De Gasperi 32";"Residenziale";"266";"170000";;"292600";"omi";"ALTA";"1100";"900";"1300";"B1";"CAPOLUOGO";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?C113/PI00000069/20252/R/B1/0/0";"2025-2";"Quotazione OMI del comune di Castelfranco di Sotto, zona B1 (CAPOLUOGO), fascia B, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 900-1300 EUR/mq su superficie lorda. Valore centrale 1100 EUR/mq x 266 mq lordi.";""
"101";"FAB III";"San Miniato";"PI";"Via Trento, n.72";"Uffici";"7295";"4100000";;"9118750";"omi";"BASSA";"1250";"1100";"1400";"E2";"PONTE A EGOLA, LA CATENA, S.MINIATO BASSO, LA SCALA, PONTE A ELSA, CIGOLI, S.DON";"2025-2";"Uffici";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?I046/PI00000676/20252/T/E2/0/0";"2025-2";"Quotazione OMI del comune di San Miniato, zona E2 (PONTE A EGOLA, LA CATENA, S.MINIATO BASSO, LA SCALA, PONTE A ELSA, CIGOLI, S.DON), fascia E, destinazione Terziaria, tipologia 'Uffici', stato conservativo 'NORMALE' (normale): 1100-1400 EUR/mq su superficie lorda. Valore centrale 1250 EUR/mq x 7295 mq lordi.";"Superficie molto elevata (7295 mq): probabile lotto cumulativo di piu unita, la quotazione unitaria di zona puo non essere rappresentativa. | Immobile locato: lo stato occupazionale riduce il prezzo realizzabile e allunga i tempi; la quotazione OMI si riferisce a immobile libero. | Il prezzo richiesto implica 562 EUR/mq, pari al 51% del minimo OMI di zona: verificare la superficie commerciale e lo stato dell'immobile."
"102";"FAB III";"Salsomaggiore Terme";"PR";"PIAZZA BERZIERI";"Commerciale";"100";"105000";"70000";"70000";"file";"DATO DA FILE";"700";;;"B3";"CAPOLUOGO E ZONA TERMALE";"2025-2";"";"";"Colonna ""a quanto si vende info 09/2026"" del file Excel";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?H720/PR00011524/20252/C/B3/0/0";"2026-09";"Valore di rivendita gia indicato nel file: mantenuto invariato, non ricalcolato.";""
"103";"FAB III";"Zibello";"PR";"Via Gambara n. 8 ang. Via  Chiarenzana n. 1";"Logistico/Produttivo";"2299,76";"300000";;"373711";"omi";"ALTA";"162,5";"130";"195";"B1";"ZIBELLO";"2025-2";"Capannoni tipici";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?M367/PR00001384/20252/P/B1/0/0";"2025-2";"Quotazione OMI del comune di Zibello, zona B1 (ZIBELLO), fascia B, destinazione Produttiva, tipologia 'Capannoni tipici', stato conservativo 'NORMALE' (normale): 130-195 EUR/mq su superficie lorda. Valore centrale 162 EUR/mq x 2299.76 mq lordi.";"Immobile occupato: lo stato occupazionale riduce il prezzo realizzabile e allunga i tempi; la quotazione OMI si riferisce a immobile libero."
"104";"FAB III";"Uzzano";"PT";"Via Giovanni Amendola, n.c. 90";"Residenziale";"794";"360000";;"873400";"omi";"BASSA";"1100";"1000";"1200";"R1";"ZONA RURALE COLLINARE";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?L522/PT00011946/20252/R/R1/0/0";"2025-2";"Quotazione OMI del comune di Uzzano, zona R1 (ZONA RURALE COLLINARE), fascia R, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 1000-1200 EUR/mq su superficie lorda. Valore centrale 1100 EUR/mq x 794 mq lordi.";"Il prezzo richiesto implica 453 EUR/mq, pari al 45% del minimo OMI di zona: verificare la superficie commerciale e lo stato dell'immobile."
"105";"FAB III";"Cartoceto";"PS";"Sub 4";"Residenziale";"130";"80000";;"147550";"omi";"ALTA";"1135";"970";"1300";"B2";"FUORI DAL CENTRO STORICO";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?B846/PS00001187/20252/R/B2/0/0";"2025-2";"Quotazione OMI del comune di Cartoceto, zona B2 (FUORI DAL CENTRO STORICO), fascia B, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 970-1300 EUR/mq su superficie lorda. Valore centrale 1135 EUR/mq x 130 mq lordi.";""
"106";"FAB III";"Cartoceto";"PS";"Via G. Oberdan 3/A";"";;;;;"nessuno";"STIMA NON AFFIDABILE - DATI INSUFFICIENTI";;;;"E1";"LUCREZIA - RESIDENZIALE";"2025-2";"";"";"";"";"";"L'OMI non pubblica quotazioni per questa destinazione (destinazione assente nel file): terreni, immobili 'Altro' e ricettivi non rientrano nelle quattro destinazioni OMI (Residenziale, Commerciale, Terziaria, Produttiva).";"Serve una stima da comparabili di mercato o da fonte specifica per la tipologia."
"107";"FAB III";"Fano";"PS";"via Caminate n. 88 B";"Residenziale";"334,65";"470000";;"493609";"omi";"ALTA";"1475";"1200";"1750";"R1";"PIANEGGIANTE-COLLINARE CON PICCOLI INSEDIAMENTI";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?D488/PS00001228/20252/R/R1/0/0";"2025-2";"Quotazione OMI del comune di Fano, zona R1 (PIANEGGIANTE-COLLINARE CON PICCOLI INSEDIAMENTI), fascia R, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 1200-1750 EUR/mq su superficie lorda. Valore centrale 1475 EUR/mq x 334.65 mq lordi.";""
"108";"FAB III";"Montemaggiore al Metauro";"PS";"via Canaletta 10-10b";"Residenziale";"687";"530000";;"755700";"omi";"ALTA";"1100";"900";"1300";"E4";"MONTEMAGGIORE";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?M380/PS00001966/20252/R/E4/0/0";"2025-2";"Quotazione OMI del comune di Montemaggiore al Metauro, zona E4 (MONTEMAGGIORE), fascia E, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 900-1300 EUR/mq su superficie lorda. Valore centrale 1100 EUR/mq x 687 mq lordi.";""
"109";"FAB III";"Novafeltria";"RN";"via XXIV Maggio n. 58";"Commerciale";"135";"70000";;"70000";"comparabili";"MEDIA";"518,52";;;"B1";"ZONA CENTRALE ED AREE LIMITROFE LUNGO LA SS. 258";"2025-2";"";"";"Immobiliare.it - annuncio di vendita dello stesso immobile, pubblicato da iQera Italia SPA";"https://www.immobiliare.it/annunci/132089390/";"2026-09-09";"Lo stesso immobile risulta pubblicato in vendita: prezzo richiesto sul mercato 70.000 EUR. E' il riferimento piu diretto possibile per il valore di rivendita, perche non e' una media di zona ma il prezzo a cui questo specifico immobile e' offerto al pubblico.";"Il valore e un prezzo RICHIESTO, non un prezzo di vendita concluso: il realizzo effettivo sara di norma inferiore per effetto della trattativa. | Superficie annuncio 96 mq contro 135 mq del file: stesso indirizzo e stesso venditore."
"110";"FAB III";"Valle Salimbene";"PV";"Via IV Novembre";"Logistico/Produttivo";"2363";"280000";;"320000";"comparabili";"ALTA";"135,42";;;"E1";"FRAZ. SAN LEONARDO";"2025-2";"";"";"Immobiliare.it - annuncio di vendita dello stesso immobile, pubblicato da iQera Italia SPA";"https://www.immobiliare.it/annunci/97355908/";"2026-09-09";"Lo stesso immobile risulta pubblicato in vendita: prezzo richiesto sul mercato 320.000 EUR. E' il riferimento piu diretto possibile per il valore di rivendita, perche non e' una media di zona ma il prezzo a cui questo specifico immobile e' offerto al pubblico.";"Il valore e un prezzo RICHIESTO, non un prezzo di vendita concluso: il realizzo effettivo sara di norma inferiore per effetto della trattativa."
"111";"FAB III";"Vigevano";"PV";"VIA Ceresio";"Logistico/Produttivo";"1754";"250000";;"482350";"omi";"MEDIA";"275";"250";"300";"R1";"ZONA  AGRICOLA PIANEGGIANTE (R.A. N.5) - INTERO TERRITORIO COMUNALE";"2025-2";"Capannoni industriali";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?L872/PV00001364/20252/P/R1/0/0";"2025-2";"Quotazione OMI del comune di Vigevano, zona R1 (ZONA  AGRICOLA PIANEGGIANTE (R.A. N.5) - INTERO TERRITORIO COMUNALE), fascia R, destinazione Produttiva, tipologia 'Capannoni industriali', stato conservativo 'NORMALE' (normale): 250-300 EUR/mq su superficie lorda. Valore centrale 275 EUR/mq x 1754 mq lordi.";"Immobile locato: lo stato occupazionale riduce il prezzo realizzabile e allunga i tempi; la quotazione OMI si riferisce a immobile libero. | Il prezzo richiesto implica 143 EUR/mq, pari al 57% del minimo OMI di zona: verificare la superficie commerciale e lo stato dell'immobile."
"112";"FAB III";"Lugo";"RA";"via Stradone Bentivoglio n. 47";"Residenziale";"2162,0499999999997";"100000";;"105000";"comparabili";"ALTA";"48,57";;;"R1";"ZONA RURALE E FRAZIONI MINORI";"2025-2";"";"";"Immobiliare.it - annuncio di vendita dello stesso immobile, pubblicato da iQera Italia SPA";"https://www.immobiliare.it/annunci/97465232/";"2026-09-09";"Lo stesso immobile risulta pubblicato in vendita: prezzo richiesto sul mercato 105.000 EUR. E' il riferimento piu diretto possibile per il valore di rivendita, perche non e' una media di zona ma il prezzo a cui questo specifico immobile e' offerto al pubblico.";"Il valore e un prezzo RICHIESTO, non un prezzo di vendita concluso: il realizzo effettivo sara di norma inferiore per effetto della trattativa. | Annuncio: edificio residenziale di 270 mq su un piano (sei locali, cucina, servizio) piu magazzino, con terreno agricolo incolto della stessa proprieta. I 2.162 mq del file comprendono il terreno."
"113";"FAB III";"Ravenna";"RA";"via Scolo Formella";"Residenziale";"5473";"580000";;;"omi-incoerente";"STIMA NON AFFIDABILE - DATI INSUFFICIENTI";"1350";"1100";"1600";"R1";"ZONA RURALE E FRAZIONI MINORI";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?H199/RA00000870/20252/R/R1/0/0";"2025-2";"Superficie e prezzo del file sono incoerenti fra loro: il prezzo richiesto (580000 EUR su 5473 mq) implica 106 EUR/mq, pari al 10% del minimo OMI di zona (1100 EUR/mq). La superficie indicata non e' compatibile con la superficie commerciale di un fabbricato: e' verosimilmente l'area del lotto o l'aggregato di piu' unita. Applicare il valore OMI al mq a questa superficie produrrebbe 7.388.550 EUR, valore non attendibile. Quotazione OMI del comune di Ravenna, zona R1 (ZONA RURALE E FRAZIONI MINORI), fascia R, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 1100-1600 EUR/mq su superficie lorda. Valore centrale 1350 EUR/mq x 5473 mq lordi.";"Superficie molto elevata (5473 mq): probabile lotto cumulativo di piu unita, la quotazione unitaria di zona puo non essere rappresentativa. | Serve la superficie commerciale reale, oppure una stima da comparabili sull immobile specifico."
"114";"FAB III";"Novellara";"RE";"via Vittorio Marchi 11";"Residenziale";"227,7";"130000";;"267548";"omi";"BASSA";"1175";"1000";"1350";"B2";"CAPOLUOGO - CENTRO URBANO";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?F960/RE00009660/20252/R/B2/0/0";"2025-2";"Quotazione OMI del comune di Novellara, zona B2 (CAPOLUOGO - CENTRO URBANO), fascia B, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 1000-1350 EUR/mq su superficie lorda. Valore centrale 1175 EUR/mq x 227.7 mq lordi.";"Il prezzo richiesto implica 571 EUR/mq, pari al 57% del minimo OMI di zona: verificare la superficie commerciale e lo stato dell'immobile."
"115";"FAB III";"Rio Saliceto";"RE";"VIA XXV APRILE N. 5";"Uffici";"176";"75000";"60000";"60000";"file";"DATO DA FILE";"340,91";;;"B2";"CENTRO URBANO";"2025-2";"";"";"Colonna ""a quanto si vende info 09/2026"" del file Excel";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?H298/RE00009540/20252/T/B2/0/0";"2026-09";"Valore di rivendita gia indicato nel file: mantenuto invariato, non ricalcolato.";""
"116";"FAB III";"Roma";"RM";"Via di Tor Cervara, 191";"Logistico/Produttivo";"11180";"1950000";;"6763900";"omi";"BASSA";"605";"480";"730";"E9";"TOR CERVARA-PONTE MAMMOLO (VIA VANNINA)";"2025-2";"Capannoni industriali";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?H501/RM00000113/20252/P/E9/0/0";"2025-2";"Quotazione OMI del comune di Roma, zona E9 (TOR CERVARA-PONTE MAMMOLO (VIA VANNINA)), fascia E, destinazione Produttiva, tipologia 'Capannoni industriali', stato conservativo 'NORMALE' (normale): 480-730 EUR/mq su superficie lorda. Valore centrale 605 EUR/mq x 11180 mq lordi.";"Superficie molto elevata (11180 mq): probabile lotto cumulativo di piu unita, la quotazione unitaria di zona puo non essere rappresentativa. | Il prezzo richiesto implica 174 EUR/mq, pari al 36% del minimo OMI di zona: verificare la superficie commerciale e lo stato dell'immobile."
"117";"FAB III";"Saludecio";"RN";"via Montefavale n.8/a";"Residenziale";"154";"100000";;"188650";"omi";"ALTA";"1225";"1000";"1450";"B1";"CAPOLUOGO";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?H724/RN00000633/20252/R/B1/0/0";"2025-2";"Quotazione OMI del comune di Saludecio, zona B1 (CAPOLUOGO), fascia B, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 1000-1450 EUR/mq su superficie lorda. Valore centrale 1225 EUR/mq x 154 mq lordi.";""
"118";"FAB III";"Saludecio";"RN";"via Montefavale n.8/a";"Residenziale";"70";"60000";;"85750";"omi";"ALTA";"1225";"1000";"1450";"B1";"CAPOLUOGO";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?H724/RN00000633/20252/R/B1/0/0";"2025-2";"Quotazione OMI del comune di Saludecio, zona B1 (CAPOLUOGO), fascia B, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 1000-1450 EUR/mq su superficie lorda. Valore centrale 1225 EUR/mq x 70 mq lordi.";""
"119";"FAB III";"Sant'Agata Feltria";"RN";"via delle Pieve n. 22";"Residenziale";"754";"220000";;"644670";"omi";"MEDIA";"855";"730";"980";"B1";"CENTRO STORICO";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?I201/RN00001560/20252/R/B1/0/0";"2025-2";"Quotazione OMI del comune di Sant'Agata Feltria, zona B1 (CENTRO STORICO), fascia B, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 730-980 EUR/mq su superficie lorda. Valore centrale 855 EUR/mq x 754 mq lordi.";"Il prezzo richiesto implica 292 EUR/mq, pari al 40% del minimo OMI di zona: verificare la superficie commerciale e lo stato dell'immobile."
"120";"FAB III";"Teglio";"SO";"Località Palazzetta";"Residenziale";"1822";"950000";;"1548700";"omi";"ALTA";"850";"750";"950";"R4";"LOCALITA` CARONA, CAPRINALE, FOPPA, BONDONE, PRADACCIO, S.ABBONDIO, MASONI, PRAGIANELLO, PRATI POZZO";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?L084/SO00003379/20252/R/R4/0/0";"2025-2";"Quotazione OMI del comune di Teglio, zona R4 (LOCALITA` CARONA, CAPRINALE, FOPPA, BONDONE, PRADACCIO, S.ABBONDIO, MASONI, PRAGIANELLO, PRATI POZZO), fascia R, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 750-950 EUR/mq su superficie lorda. Valore centrale 850 EUR/mq x 1822 mq lordi.";""
"121";"FAB III";"Castel Viscardo";"TR";"via Giosuè Carducci n. 6";"Residenziale";"86";"65000";;"68800";"omi";"ALTA";"800";"600";"1000";"E3";"MONTERUBIAGLIO";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?C289/TR00001574/20252/R/E3/0/0";"2025-2";"Quotazione OMI del comune di Castel Viscardo, zona E3 (MONTERUBIAGLIO), fascia E, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 600-1000 EUR/mq su superficie lorda. Valore centrale 800 EUR/mq x 86 mq lordi.";""
"122";"FAB III";"Terni";"TR";"Via Galvani / Via Ferraris";"Commerciale";"750";"1100000";;"731250";"omi";"ALTA";"975";"650";"1300";"B6";"SAN MARTINO - CONFINI : V.LE STADIO, V.LE BORZACCHINI, FERROVIA, P.DANTE, V.DENTATO, V.BRIN, V.RINASCITA, V.GIANNELLI, V.CASSERO";"2025-2";"Negozi";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?L117/TR00001534/20252/C/B6/0/0";"2025-2";"Quotazione OMI del comune di Terni, zona B6 (SAN MARTINO - CONFINI : V.LE STADIO, V.LE BORZACCHINI, FERROVIA, P.DANTE, V.DENTATO, V.BRIN, V.RINASCITA, V.GIANNELLI, V.CASSERO), fascia B, destinazione Commerciale, tipologia 'Negozi', stato conservativo 'NORMALE' (normale): 650-1300 EUR/mq su superficie lorda. Valore centrale 975 EUR/mq x 750 mq lordi.";"Immobile locato: lo stato occupazionale riduce il prezzo realizzabile e allunga i tempi; la quotazione OMI si riferisce a immobile libero."
"123";"FAB III";"Castions di Strada";"UD";"Via Napoleonica 9";"Logistico/Produttivo";"4750";"2200000";;"712500";"comparabili";"BASSA";"150";;;"R1";"RESTO DEL TERRITORIO COMUNALE";"2025-2";"";"";"Immobiliare.it - annunci di vendita nello stesso comune e nella stessa categoria";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?C327/UD00002939/20252/P/R1/0/0";"2026-09-09";"Nessun annuncio dell'immobile stesso. Stima da 2 comparabili reali nello stesso comune e nella stessa categoria: mediana 150 EUR/mq x 4750 mq.";"Valore costruito su prezzi RICHIESTI negli annunci, non su compravendite concluse. | Il capannone del file non risulta pubblicato. Comparabili nello stesso comune e nella stessa categoria."
"124";"FAB III";"Cividale del Friuli";"UD";"Via Monte Nero 5";"Commerciale";"290";"290000";"120000";"120000";"file";"DATO DA FILE";"413,79";;;"B1";"ZONA CENTRALE";"2025-2";"";"";"Colonna ""a quanto si vende info 09/2026"" del file Excel";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?C758/UD00000216/20252/C/B1/0/0";"2026-09";"Valore di rivendita gia indicato nel file: mantenuto invariato, non ricalcolato.";"Nota nel file: 120000 possibile cambio residenziale con impresa bordon"
"125";"FAB III";"Latisana";"UD";"Via Casasola 5";"Altro";"440";"115000";;;"nessuno";"STIMA NON AFFIDABILE - DATI INSUFFICIENTI";;;;"D1";"FR.LATISANOTTA, FR.GORGO, FR.PERTEGADA";"2025-2";"";"";"";"";"";"L'OMI non pubblica quotazioni per questa destinazione (Altro): terreni, immobili 'Altro' e ricettivi non rientrano nelle quattro destinazioni OMI (Residenziale, Commerciale, Terziaria, Produttiva).";"Serve una stima da comparabili di mercato o da fonte specifica per la tipologia."
"126";"FAB III";"Udine";"UD";"Viale Ungheria 5";"Uffici";"218";"170000";"80000";"80000";"file";"DATO DA FILE";"366,97";;;"B5";"V.GORGHI, P.ZZA I MAGGIO, V.LE DELLA VITTORIA, V. ANTONINI, V. COSATTINI, V. DEL GELSO";"2025-2";"";"";"Colonna ""a quanto si vende info 09/2026"" del file Excel";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?L483/UD00009925/20252/T/B5/0/0";"2026-09";"Valore di rivendita gia indicato nel file: mantenuto invariato, non ricalcolato.";"Nota nel file: 80000- non trasformazione in residenziale solo con delibera condominio -"
"127";"FAB III";"Agra";"VA";"Vicolo Piazzetta 3";"Residenziale";"556";"30000";;;"omi-incoerente";"STIMA NON AFFIDABILE - DATI INSUFFICIENTI";"1100";"950";"1250";"B1";"CENTRALE UNICA";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?A085/VA00000092/20252/R/B1/0/0";"2025-2";"Superficie e prezzo del file sono incoerenti fra loro: il prezzo richiesto (30000 EUR su 556 mq) implica 54 EUR/mq, pari al 6% del minimo OMI di zona (950 EUR/mq). La superficie indicata non e' compatibile con la superficie commerciale di un fabbricato: e' verosimilmente l'area del lotto o l'aggregato di piu' unita. Applicare il valore OMI al mq a questa superficie produrrebbe 611.600 EUR, valore non attendibile. Quotazione OMI del comune di Agra, zona B1 (CENTRALE UNICA), fascia B, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 950-1250 EUR/mq su superficie lorda. Valore centrale 1100 EUR/mq x 556 mq lordi.";"Serve la superficie commerciale reale, oppure una stima da comparabili sull immobile specifico."
"128";"FAB III";"Fagnano Olona";"VA";"VIA SILVIO PELLICO";"Logistico/Produttivo";"2410";"325000";;"964000";"omi";"MEDIA";"400";"300";"500";"D1";"COMPRENDE LOCALITA BALZARINE, BERGORO, FORNACI.";"2025-2";"Capannoni industriali";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?D467/VA00000434/20252/P/D1/0/0";"2025-2";"Quotazione OMI del comune di Fagnano Olona, zona D1 (COMPRENDE LOCALITA BALZARINE, BERGORO, FORNACI.), fascia D, destinazione Produttiva, tipologia 'Capannoni industriali', stato conservativo 'NORMALE' (normale): 300-500 EUR/mq su superficie lorda. Valore centrale 400 EUR/mq x 2410 mq lordi.";"Il prezzo richiesto implica 135 EUR/mq, pari al 45% del minimo OMI di zona: verificare la superficie commerciale e lo stato dell'immobile."
