"Riga Excel";"FONDO";"Comune";"Provincia";"Indirizzo";"Destinazione";"Sup. lorda (mq)";"Asking price file";"Prezzo file (col. K)";"VALORE RIVENDITA";"Metodo";"Affidabilita";"EUR/mq applicato";"EUR/mq min OMI";"EUR/mq max OMI";"Zona OMI";"Descrizione zona OMI";"Semestre OMI";"Tipologia OMI";"Stato conservativo";"Fonte";"URL fonte";"Data fonte";"Motivazione";"Avvisi"
"55";"FAB III";"Brescia";"BS";"VIA Della Volta 92/94";"Uffici";"427";"410000";;"619150";"omi";"ALTA";"1450";"1300";"1600";"D12";"VIA DUCA DEGLI ABRUZZI, POLIAMBULANZA, VIA VOLTA";"2025-2";"Uffici";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?B157/BS00012224/20252/T/D12/0/0";"2025-2";"Quotazione OMI del comune di Brescia, zona D12 (VIA DUCA DEGLI ABRUZZI, POLIAMBULANZA, VIA VOLTA), fascia D, destinazione Terziaria, tipologia 'Uffici', stato conservativo 'NORMALE' (normale): 1300-1600 EUR/mq su superficie lorda. Valore centrale 1450 EUR/mq x 427 mq lordi.";""
"56";"FAB III";"Chieti";"CH";"VIA FILIPPO MASCI";"Logistico/Produttivo";"1100";"330000";;"594000";"omi";"ALTA";"540";"360";"720";"C7";"ESPANSIONE";"2025-2";"Laboratori";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?C632/CH00005238/20252/P/C7/0/0";"2025-2";"Quotazione OMI del comune di Chieti, zona C7 (ESPANSIONE), fascia C, destinazione Produttiva, tipologia 'Laboratori', stato conservativo 'NORMALE' (normale): 360-720 EUR/mq su superficie lorda. Valore centrale 540 EUR/mq x 1100 mq lordi.";""
"57";"FAB III";"Resuttano";"CL";"Via Roma 17";"Residenziale";"126";"30000";;"35000";"comparabili";"ALTA";"277,78";;;"B1";"CENTRO EDIFICATO";"2025-2";"";"";"Immobiliare.it - annuncio di vendita dello stesso immobile, pubblicato da iQera Italia SPA";"https://www.immobiliare.it/annunci/97355902/";"2026-09-09";"Lo stesso immobile risulta pubblicato in vendita: prezzo richiesto sul mercato 35.000 EUR. E' il riferimento piu diretto possibile per il valore di rivendita, perche non e' una media di zona ma il prezzo a cui questo specifico immobile e' offerto al pubblico.";"Il valore e un prezzo RICHIESTO, non un prezzo di vendita concluso: il realizzo effettivo sara di norma inferiore per effetto della trattativa."
"58";"FAB III";"Caramagna Piemonte";"CN";"Strada Meani n. 12";"Logistico/Produttivo";"2853,82";"940000";;"1255681";"omi";"MEDIA";"440";"320";"560";"B1";"CENTRO URBANO";"2025-2";"Capannoni tipici";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?B720/CN00001015/20252/P/B1/0/0";"2025-2";"Quotazione OMI del comune di Caramagna Piemonte, zona B1 (CENTRO URBANO), fascia B, destinazione Produttiva, tipologia 'Capannoni tipici', stato conservativo 'NORMALE' (normale): 320-560 EUR/mq su superficie lorda. Valore centrale 440 EUR/mq x 2853.82 mq lordi.";""
"59";"FAB III";"Pianfei";"CN";"Via SS 564 Monregalese 2";"Logistico/Produttivo";"6652";"125000";;"160000";"comparabili";"ALTA";"24,05";;;"R1";"ZONE AGRICOLE DEL TERRITORIO COMUNALE";"2025-2";"";"";"Immobiliare.it - annuncio di vendita dello stesso immobile, pubblicato da iQera Italia SPA";"https://www.immobiliare.it/annunci/97355892/";"2026-09-09";"Lo stesso immobile risulta pubblicato in vendita: prezzo richiesto sul mercato 160.000 EUR. E' il riferimento piu diretto possibile per il valore di rivendita, perche non e' una media di zona ma il prezzo a cui questo specifico immobile e' offerto al pubblico.";"Il valore e un prezzo RICHIESTO, non un prezzo di vendita concluso: il realizzo effettivo sara di norma inferiore per effetto della trattativa."
"60";"FAB III";"Racconigi";"CN";"via Priotti 31";"Residenziale";"684";"380000";;"380000";"comparabili";"ALTA";"555,56";;;"R1";"ZONE AGRICOLE DEL TERRITORIO COMUNALE";"2025-2";"";"";"Immobiliare.it - annuncio di vendita dello stesso immobile, pubblicato da iQera Italia SPA";"https://www.immobiliare.it/annunci/98592516/";"2026-09-09";"Lo stesso immobile risulta pubblicato in vendita: prezzo richiesto sul mercato 380.000 EUR. E' il riferimento piu diretto possibile per il valore di rivendita, perche non e' una media di zona ma il prezzo a cui questo specifico immobile e' offerto al pubblico.";"Il valore e un prezzo RICHIESTO, non un prezzo di vendita concluso: il realizzo effettivo sara di norma inferiore per effetto della trattativa."
"61";"FAB III";"Montodine";"CR";"Via Crotti";"Logistico/Produttivo";"15793";"900000";;"9083173";"comparabili";"BASSA";"575";;;"B1";"INTERO TERRITORIO URBANO";"2025-2";"";"";"Immobiliare.it - annunci di vendita nello stesso comune e nella stessa categoria";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?F681/CR00000371/20252/P/B1/0/0";"2026-09-09";"Nessun annuncio dell'immobile stesso. Stima da 4 comparabili reali nello stesso comune e nella stessa categoria: mediana 575 EUR/mq x 15793 mq.";"Valore costruito su prezzi RICHIESTI negli annunci, non su compravendite concluse. | Il complesso del file non risulta pubblicato. Comparabili nello stesso comune, categoria capannoni."
"62";"FAB III";"Acireale";"CT";"Piazza IV Settembre 19";"Commerciale";"390";"150000";;"150000";"comparabili";"MEDIA";"384,62";;;"D2";"S.M. DELLE GRAZIE, DELLO STADIO, TUPPARELLO, ACI PLATANI, S.CATERINA, IGEA";"2025-2";"";"";"Immobiliare.it - annuncio di vendita dello stesso immobile, pubblicato da iQera Italia SPA";"https://www.immobiliare.it/annunci/132241002/";"2026-09-09";"Lo stesso immobile risulta pubblicato in vendita: prezzo richiesto sul mercato 150.000 EUR. E' il riferimento piu diretto possibile per il valore di rivendita, perche non e' una media di zona ma il prezzo a cui questo specifico immobile e' offerto al pubblico.";"Il valore e un prezzo RICHIESTO, non un prezzo di vendita concluso: il realizzo effettivo sara di norma inferiore per effetto della trattativa. | Superficie annuncio 330 mq contro 390 mq del file: stesso indirizzo e stesso venditore."
"63";"FAB III";"Borgia";"CZ";"VIA GIACOMO ROSSINI 2";"Uffici";"169";"70000";;"70000";"comparabili";"MEDIA";"414,2";;;"B2";"CENTRO URBANO";"2025-2";"";"";"Immobiliare.it - annuncio di vendita dello stesso immobile, pubblicato da iQera Italia SPA";"https://www.immobiliare.it/annunci/132268414/";"2026-09-09";"Lo stesso immobile risulta pubblicato in vendita: prezzo richiesto sul mercato 70.000 EUR. E' il riferimento piu diretto possibile per il valore di rivendita, perche non e' una media di zona ma il prezzo a cui questo specifico immobile e' offerto al pubblico.";"Il valore e un prezzo RICHIESTO, non un prezzo di vendita concluso: il realizzo effettivo sara di norma inferiore per effetto della trattativa. | Superficie annuncio 156 mq contro 169 mq del file: stesso indirizzo e stesso venditore."
"64";"FAB III";"Santa Sofia";"FO";"via Di Vittorio";"Logistico/Produttivo";"1309";"235000";;"250000";"comparabili";"MEDIA";"190,99";;;"B1";"CENTRO URBANO DI SANTA SOFIA E MORTANO";"2025-2";"";"";"Immobiliare.it - annuncio di vendita dello stesso immobile, pubblicato da iQera Italia SPA";"https://www.immobiliare.it/annunci/97556202/";"2026-09-09";"Lo stesso immobile risulta pubblicato in vendita: prezzo richiesto sul mercato 250.000 EUR. E' il riferimento piu diretto possibile per il valore di rivendita, perche non e' una media di zona ma il prezzo a cui questo specifico immobile e' offerto al pubblico.";"Il valore e un prezzo RICHIESTO, non un prezzo di vendita concluso: il realizzo effettivo sara di norma inferiore per effetto della trattativa. | Annuncio: laboratorio (lavaggio e gommista) di 310 mq con accesso da via Nefetti e da via Di Vittorio. Il file indica 1.309 mq: verosimilmente il lotto. Corrispondenza da confermare in sopralluogo."
